| Configuration: Fuel Internal - N2O External | | | | | | | | | | Configuration: N2O Internal - Fuel External | | | | | | | | |
| ------------------------------------------- | --------- | ---- | ---------- | ----------- | --------- | ------ | --------------------- | ----------------- | ------------ | ------------------------------------------- | | | ------------- | --------- | ---- | ---------- | ----------- | ------------------ |
| | | | | | | | | | | | | | | | | | | | | | | | | |
| Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | | | Hole diameter | Hole area | Rows | Holes/Rows | Total holes | Mass flow | Error | Angular spacing [deg] | Arc distance [mm] | rPintle [mm] | Annulus width [mm] | |
| 0,80 mm | 0.502655 | 1 | 30 | 30 | 0.4632 | 0.52% | 12.00 | 1.588 | 11.40 | 0.59 | | | 0,80 mm | 0.5026548 | 1 | 91 | 91 | 1.3398 | 0.77% | 3.96 | \-0.013 | 11.40 | 0.21 | |
| 0,80 mm | 0.502655 | 1 | 30 | 30 | 0.4632 | 0.52% | 12.00 | 1.853 | 12.67 | 0.53 | | | 0,80 mm | 0.5026548 | 1 | 91 | 91 | 1.3398 | 0.77% | 3.96 | 0.075 | 12.67 | 0.19 | |
| 0,80 mm | 0.502655 | 2 | 15 | 30 | 0.4632 | 0.52% | 24.00 | 2.383 | 7.60 | 0.86 | | | 0,80 mm | 0.5026548 | 2 | 45 | 90 | 1.3251 | 1.86% | 8.00 | 0.261 | 7.60 | 0.31 | |
| 0,80 mm | 0.502655 | 2 | 15 | 30 | 0.4632 | 0.52% | 24.00 | 2.914 | 8.87 | 0.75 | | | 0,80 mm | 0.5026548 | 2 | 45 | 90 | 1.3251 | 1.86% | 8.00 | 0.438 | 8.87 | 0.27 | |
| 0,80 mm | 0.502655 | 2 | 15 | 30 | 0.4632 | 0.52% | 24.00 | 3.445 | 10.13 | 0.66 | | | 0,80 mm | 0.5026548 | 2 | 45 | 90 | 1.3251 | 1.86% | 8.00 | 0.615 | 10.13 | 0.24 | |
| 0,80 mm | 0.502655 | 2 | 15 | 30 | 0.4632 | 0.52% | 24.00 | 3.975 | 11.40 | 0.59 | | | 0,80 mm | 0.5026548 | 2 | 45 | 90 | 1.3251 | 1.86% | 8.00 | 0.792 | 11.40 | 0.21 | |
| 0,80 mm | 0.502655 | 2 | 15 | 30 | 0.4632 | 0.52% | 24.00 | 4.506 | 12.67 | 0.53 | | | 0,80 mm | 0.5026548 | 2 | 45 | 90 | 1.3251 | 1.86% | 8.00 | 0.969 | 12.67 | 0.19 | |
| 0,80 mm | 0.502655 | 3 | 10 | 30 | 0.4632 | 0.52% | 36.00 | 3.975 | 7.60 | 0.86 | | | 0,80 mm | 0.5026548 | 3 | 30 | 90 | 1.3251 | 1.86% | 12.00 | 0.792 | 7.60 | 0.31 | |
| 0,80 mm | 0.502655 | 3 | 10 | 30 | 0.4632 | 0.52% | 36.00 | 4.771 | 8.87 | 0.75 | | | 0,80 mm | 0.5026548 | 3 | 30 | 90 | 1.3251 | 1.86% | 12.00 | 1.057 | 8.87 | 0.27 | |
| 0,80 mm | 0.502655 | 3 | 10 | 30 | 0.4632 | 0.52% | 36.00 | 5.567 | 10.13 | 0.66 | | | 0,80 mm | 0.5026548 | 3 | 30 | 90 | 1.3251 | 1.86% | 12.00 | 1.322 | 10.13 | 0.24 | |
